TAZID,CO_TAZID,DevAcres,HH,Job,Job_byAuto,Job_byBike,Job_byWalk,act_Job_byAuto,act_Job_byBike,act_Job_byWalk,Loss_Job_Cong,Loss_Job_Net,Loss_Job_Abs,act_Loss_Job_Cong,act_Loss_Job_Net,act_Loss_Job_Abs,HH_byAuto,HH_byBike,HH_byWalk,act_HH_byAuto,act_HH_byBike,act_HH_byWalk,Loss_HH_Cong,Loss_HH_Net,Loss_HH_Abs,act_Loss_HH_Cong,act_Loss_HH_Net,act_Loss_HH_Abs,tmp_Job_byAuto_FF,tmp_Job_byAuto_SL,tmp_HH_byAuto_FF,tmp_HH_byAuto_SL
        41,      1001,107.487500,         0,     139.9,      2637,      2290,       636,         0,         0,         0,        -0,      -863,      -863,         0,         0,         0,      1800,      1203,        61,    251818,    168241,      8573,        -0,     -1248,     -1248,       -33,   -174562,   -174596,      2637,      3500,      1800,      3048
        42,      1002,345.741700,      24.0,     152.5,      2567,      2216,       287,     61606,     53185,      6899,        -0,      -757,      -757,        -5,    -18161,    -18165,      1660,      1194,        38,    253189,    182028,      5772,        -0,     -1131,     -1131,       -65,   -172425,   -172491,      2567,      3324,      1661,      2791
        43,      1003,440.680600,      37.4,      45.9,      2570,      2186,        76,     96136,     81765,      2848,        -0,      -819,      -819,        -7,    -30624,    -30631,      1668,      1212,        44,     76564,     55630,      2029,        -0,     -1176,     -1177,       -21,    -53992,    -54013,      2571,      3390,      1669,      2845
        44,      1004,306.113700,       4.8,         0,      2472,      2122,        20,     11865,     10186,        94,        -0,      -650,      -650,        -1,     -3121,     -3121,      1498,      1195,        22,         0,         0,         0,        -0,     -1021,     -1021,         0,         0,         0,      2472,      3122,      1499,      2519
        45,      1005,245.424600,      76.7,     654.3,      2599,      2346,       908,    199353,    179936,     69612,        -0,      -778,      -778,        -6,    -59652,    -59658,      1731,      1246,       179,   1132296,    815094,    117380,        -0,     -1132,     -1133,      -144,   -740950,   -741094,      2599,      3377,      1731,      2863
        46,      1006,675.848300,      73.9,      79.1,      2577,      2325,       142,    190435,    171832,     10488,        -0,      -777,      -777,        -5,    -57404,    -57409,      1685,      1268,       175,    133252,    100322,     13832,        -0,     -1109,     -1109,       -16,    -87693,    -87709,      2577,      3354,      1685,      2793
        47,      1007,184.967300,     201.4,     305.8,      2602,      2397,       897,    524001,    482785,    180565,        -0,      -644,      -645,       -28,   -129794,   -129822,      1748,      1245,       444,    534494,    380814,    135776,        -0,      -948,      -948,       -90,   -289907,   -289997,      2602,      3246,      1748,      2696
        48,      1008,142.192400,     141.0,     197.1,      2596,      2385,       734,    365993,    336342,    103447,        -0,      -666,      -666,       -22,    -93895,    -93917,      1731,      1259,       516,    341136,    248167,    101647,        -0,      -971,      -972,       -68,   -191472,   -191540,      2596,      3262,      1731,      2703
        49,      1009,132.581600,     114.2,       2.6,      2577,      2353,       171,    294247,    268698,     19507,        -0,      -668,      -668,       -18,    -76296,    -76314,      1691,      1261,       301,      4396,      3278,       781,        -0,      -979,      -979,        -1,     -2544,     -2545,      2577,      3245,      1691,      2670
        50,      1010,176.207600,      82.5,      91.2,      2640,      2407,       609,    217760,    198592,     50234,        -0,      -683,      -683,        -3,    -56313,    -56316,      1814,      1225,       378,    165467,    111752,     34502,        -0,      -957,      -957,       -11,    -87257,    -87268,      2640,      3322,      1814,      2771
        51,      1011,303.360100,     229.3,     437.3,      2627,      2392,       702,    602359,    548591,    161036,        -0,      -679,      -679,       -15,   -155609,   -155624,      1792,      1241,       451,    783631,    542769,    197227,        -0,      -951,      -951,       -66,   -415944,   -416011,      2627,      3306,      1792,      2743
        52,      1012,197.677000,      42.2,       2.6,      2570,      2353,       321,    108454,     99279,     13533,        -0,      -672,      -673,        -7,    -28376,    -28382,      1674,      1248,       344,      4353,      3244,       895,        -0,      -981,      -981,        -1,     -2551,     -2551,      2570,      3243,      1675,      2656
        53,      1013, 93.158900,      31.7,         0,      2544,      2266,        25,     80657,     71848,       790,        -0,      -684,      -684,        -5,    -21687,    -21692,      1623,      1241,       191,         0,         0,         0,        -0,     -1011,     -1011,         0,         0,         0,      2545,      3229,      1623,      2634
        54,      1014,163.623300,       1.9,      86.0,      2670,      2233,        93,      5074,      4243,       178,        -0,      -818,      -818,        -0,     -1554,     -1554,      1870,      1150,        20,    160863,     98911,      1740,        -0,     -1193,     -1193,        -8,   -102566,   -102574,      2670,      3488,      1871,      3063
        55,      1015,534.244100,      25.9,       7.8,      2696,      2029,        91,     69817,     52559,      2353,        -0,      -938,      -938,        -1,    -24299,    -24300,      1916,      1067,        27,     14947,      8325,       211,        -0,     -1324,     -1324,        -1,    -10324,    -10325,      2696,      3634,      1916,      3240
        56,      1016,406.555000,         0,     200.2,      2701,      1815,       201,         0,         0,         0,        -0,      -995,      -995,         0,         0,         0,      1930,       923,         4,    386456,    184721,       780,        -0,     -1429,     -1429,       -15,   -286125,   -286141,      2701,      3696,      1930,      3360
        57,      1017,259.265300,         0,         0,      2634,      1125,         0,         0,         0,         0,        -1,     -1067,     -1068,         0,         0,         0,      1820,       561,         0,         0,         0,         0,        -0,     -1492,     -1492,         0,         0,         0,      2635,      3702,      1821,      3312
        58,      1018,2318.19310,       2.9,         0,      2147,         0,         0,      6228,         0,         0,        -1,     -1097,     -1098,        -1,     -3182,     -3184,      1205,        32,         3,         0,         0,         0,        -1,     -1370,     -1371,         0,         0,         0,      2148,      3245,      1206,      2576
        59,      1019,1608.83630,       5.8,         0,      2418,       520,         0,     14027,      3018,         0,        -1,      -659,      -659,        -3,     -3822,     -3825,      1422,       244,         6,         0,         0,         0,        -1,     -1095,     -1095,         0,         0,         0,      2419,      3078,      1423,      2517
        60,      1020,2637.15700,      16.3,         0,      2033,        37,         0,     33134,       597,         0,        -0,     -1006,     -1006,        -6,    -16391,    -16397,      1204,       109,        16,         0,         0,         0,        -0,     -1174,     -1174,         0,         0,         0,      2033,      3039,      1204,      2378
        61,      1021,1551.24700,      30.7,         0,      2399,       770,         0,     73636,     23624,         0,        -1,      -760,      -761,       -16,    -23332,    -23348,      1408,       453,        31,         0,         0,         0,        -1,     -1154,     -1155,         0,         0,         0,      2399,      3159,      1409,      2563
        62,      1022,254.335400,       3.8,         0,      2395,       875,         0,      9101,      3324,         0,        -0,      -832,      -832,        -2,     -3162,     -3163,      1412,       559,         5,         0,         0,         0,        -1,     -1213,     -1213,         0,         0,         0,      2395,      3227,      1412,      2625
        63,      1023,2089.77500,       8.6,         0,      2235,       120,         0,     19224,      1032,         0,        -0,      -797,      -798,        -3,     -6858,     -6862,      1332,       203,         9,         0,         0,         0,        -0,     -1039,     -1039,         0,         0,         0,      2236,      3033,      1332,      2370
        64,      1024,751.823500,       3.8,         0,      2524,      1752,         0,      9592,      6656,         0,        -0,      -630,      -630,        -1,     -2394,     -2395,      1580,       904,         4,         0,         0,         0,        -0,     -1018,     -1019,         0,         0,         0,      2524,      3154,      1581,      2599
        65,      1025,680.179000,      15.3,         0,      2521,      1583,         0,     38571,     24214,         0,        -0,      -660,      -661,        -3,    -10103,    -10106,      1574,       875,        15,         0,         0,         0,        -0,     -1037,     -1037,         0,         0,         0,      2521,      3182,      1575,      2611
        66,      1026,994.028300,       8.6,         0,      2366,      1325,         0,     20345,     11391,         0,        -0,      -627,      -627,        -3,     -5391,     -5394,      1409,       810,         9,         0,         0,         0,        -0,      -949,      -949,         0,         0,         0,      2366,      2993,      1410,      2359
        67,      1027,351.153200,       1.9,         0,      2458,      1806,         0,      4670,      3431,         0,        -0,      -688,      -688,        -0,     -1307,     -1308,      1480,      1071,         5,         0,         0,         0,        -0,     -1051,     -1051,         0,         0,         0,      2458,      3146,      1481,      2532
        68,      1028,670.926000,         0,         0,      2586,      2060,        23,         0,         0,         0,        -0,      -711,      -711,         0,         0,         0,      1682,      1020,         0,         0,         0,         0,        -0,     -1131,     -1131,         0,         0,         0,      2586,      3297,      1682,      2813
        69,      1029,1464.01190,       2.9,         0,      2483,      1739,         0,      7202,      5044,         0,        -1,      -601,      -602,        -3,     -1744,     -1747,      1573,       785,         3,         0,         0,         0,        -0,      -900,      -901,         0,         0,         0,      2485,      3086,      1573,      2474
        70,      1030,962.680700,       9.6,         0,      2552,      2353,         1,     24495,     22584,         9,        -0,      -575,      -575,        -2,     -5517,     -5518,      1641,      1182,        10,         0,         0,         0,        -0,      -879,      -880,         0,         0,         0,      2552,      3126,      1641,      2521
        71,      1031,268.428500,      41.2,         0,      2521,      2148,        26,    103871,     88482,      1091,        -0,      -657,      -658,        -8,    -27089,    -27097,      1579,      1215,       105,         0,         0,         0,        -0,      -990,      -990,         0,         0,         0,      2521,      3179,      1579,      2569
        72,      1032,254.498700,      45.1,       7.5,      2451,      1488,         8,    110531,     67093,       338,        -0,      -681,      -681,       -14,    -30717,    -30731,      1476,       956,        45,     11072,      7170,       338,        -0,     -1014,     -1014,        -2,     -7602,     -7604,      2451,      3132,      1476,      2490
        73,      1033,2509.15550,       6.7,         0,      1948,         0,         0,     13054,         0,         0,        -1,      -923,      -924,        -8,     -6185,     -6193,      1289,        44,         7,         0,         0,         0,        -1,     -1098,     -1099,         0,         0,         0,      1950,      2873,      1289,      2387
        74,      1034,178.335900,      34.5,      29.1,      2518,      2041,        29,     86874,     70428,      1004,        -0,      -674,      -675,        -6,    -23265,    -23271,      1571,      1176,        95,     45704,     34235,      2756,        -0,     -1009,     -1010,       -10,    -29369,    -29379,      2518,      3193,      1571,      2580
        75,      1035,1409.35590,      11.5,         0,      2296,       248,         0,     26407,      2849,         0,        -1,      -857,      -858,       -12,     -9853,     -9865,      1477,       132,        12,         0,         0,         0,        -0,     -1122,     -1123,         0,         0,         0,      2297,      3154,      1477,      2599
        76,      1036,2833.56520,      20.1,         0,      2452,      1908,         0,     49294,     38350,         0,        -1,      -697,      -698,       -21,    -14002,    -14023,      1545,       889,        20,         0,         0,         0,        -0,      -969,      -970,         0,         0,         0,      2453,      3150,      1545,      2514
        77,      1037,351.834500,       1.0,         0,      2603,      2299,       212,      2603,      2299,       212,        -0,      -692,      -692,        -0,      -692,      -692,      1735,      1220,       141,         0,         0,         0,        -0,      -969,      -969,         0,         0,         0,      2603,      3295,      1735,      2704
        78,      1038,1405.01890,       4.8,         0,      1979,         0,         0,      9500,         0,         0,        -1,      -929,      -930,        -6,     -4459,     -4465,      1313,        45,         5,         0,         0,         0,        -1,     -1242,     -1243,         0,         0,         0,      1980,      2909,      1313,      2556
        79,      1039,1711.01740,      13.4,         0,      2154,        42,         0,     28864,       560,         0,        -1,     -1086,     -1087,       -14,    -14555,    -14570,      1393,        61,        13,         0,         0,         0,        -0,     -1426,     -1427,         0,         0,         0,      2155,      3241,      1393,      2820
        80,      1040,958.140300,       1.0,         0,      2607,      1991,         0,      2607,      1991,         0,        -1,      -862,      -863,        -1,      -862,      -863,      1763,      1101,         1,         0,         0,         0,        -0,     -1166,     -1166,         0,         0,         0,      2608,      3470,      1763,      2929
        81,      1041,1273.90780,       2.9,         0,      2353,       787,         0,      6824,      2283,         0,        -1,     -1109,     -1110,        -2,     -3216,     -3218,      1562,       351,         3,         0,         0,         0,        -0,     -1458,     -1459,         0,         0,         0,      2354,      3463,      1562,      3021
        82,      1042,864.383500,         0,         0,      2558,      1503,         0,         0,         0,         0,        -1,      -984,      -984,         0,         0,         0,      1742,       714,         0,         0,         0,         0,        -0,     -1384,     -1385,         0,         0,         0,      2559,      3543,      1743,      3127
        83,      1043,2222.38630,      12.5,         0,      1745,         0,         0,     21817,         0,         0,        -1,      -896,      -897,       -14,    -11196,    -11211,      1218,        21,        13,         0,         0,         0,        -1,     -1200,     -1201,         0,         0,         0,      1747,      2642,      1218,      2418
        84,      1044,1385.33100,         0,         0,      2616,      1324,         0,         0,         0,         0,        -1,      -964,      -964,         0,         0,         0,      1775,       699,         0,         0,         0,         0,        -0,     -1327,     -1328,         0,         0,         0,      2617,      3580,      1775,      3103
        85,      1045,1504.40890,         0,       1.1,      2529,       859,         1,         0,         0,         0,        -1,     -1134,     -1134,         0,         0,         0,      1707,       399,         0,      1878,       439,         0,        -0,     -1557,     -1557,        -0,     -1713,     -1713,      2530,      3664,      1707,      3264
        86,      1046,1439.01180,         0,         0,      2249,       159,         0,         0,         0,         0,        -1,     -1081,     -1082,         0,         0,         0,      1371,        31,         0,         0,         0,         0,        -0,     -1456,     -1457,         0,         0,         0,      2250,      3331,      1371,      2828
        87,      1047,1848.58430,         0,         0,      1513,         0,         0,         0,         0,         0,        -1,     -3707,     -3708,         0,         0,         0,       898,         8,         0,         0,         0,         0,        -1,     -2755,     -2756,         0,         0,         0,      1514,      5221,       899,      3654
        88,      1048,1222.57420,         0,         0,      1908,         0,         0,         0,         0,         0,        -2,     -3061,     -3063,         0,         0,         0,      1202,         1,         0,         0,         0,         0,        -2,     -2323,     -2325,         0,         0,         0,      1910,      4971,      1204,      3527
        89,      1049,1821.82580,       1.0,         0,      1944,         0,         0,      1944,         0,         0,        -2,     -3246,     -3249,        -2,     -3246,     -3249,      1228,         1,         1,         0,         0,         0,        -2,     -2447,     -2450,         0,         0,         0,      1946,      5193,      1231,      3678
        90,      1050,22143.6068,         0,         0,       837,         0,         0,         0,         0,         0,        -0,     -3302,     -3303,         0,         0,         0,       454,         0,         0,         0,         0,         0,        -1,     -2611,     -2612,         0,         0,         0,       838,      4140,       454,      3066
        91,      1051,10170.7578,       6.7,         0,      1987,         0,         0,     13316,         0,         0,        -0,     -1405,     -1405,        -3,     -9413,     -9416,      1109,        45,         7,         0,         0,         0,        -0,     -1526,     -1526,         0,         0,         0,      1988,      3393,      1109,      2635
        92,      1052,30029.4087,      25.9,       4.9,        13,         5,         5,       340,       127,       127,         0,     -2280,     -2280,         0,    -59046,    -59046,        53,        26,        26,       261,       127,       127,         0,     -1728,     -1728,         0,     -8467,     -8467,        13,      2293,        53,      1781
        93,      1053,14312.3023,       9.6,         0,      2054,       534,         0,     19714,      5129,         0,        -1,      -824,      -825,       -10,     -7907,     -7917,      1278,       188,        10,         0,         0,         0,        -0,      -905,      -906,         0,         0,         0,      2055,      2878,      1278,      2183
        94,      1054,2960.28230,       8.6,         0,      2207,       107,         0,     18982,       919,         0,        -1,     -1322,     -1322,        -6,    -11365,    -11371,      1414,        58,         9,         0,         0,         0,        -0,     -1742,     -1742,         0,         0,         0,      2208,      3529,      1414,      3157
        95,      1055,49912.5455,      17.3,       4.9,      1355,         5,         5,     23449,        85,        85,        -1,     -1355,     -1356,        -9,    -23447,    -23456,       815,        17,        17,      3994,        85,        85,        -0,     -1215,     -1215,        -1,     -5955,     -5956,      1356,      2711,       815,      2030
        96,      1056,16091.4068,         0,         0,      1336,         0,         0,         0,         0,         0,        -1,     -1236,     -1237,         0,         0,         0,       988,         7,         0,         0,         0,         0,        -1,     -1296,     -1296,         0,         0,         0,      1337,      2573,       989,      2284
        97,      1057,17706.2208,         0,         0,      1747,         0,         0,         0,         0,         0,        -1,     -1650,     -1651,         0,         0,         0,      1038,         4,         0,         0,         0,         0,        -0,     -2044,     -2044,         0,         0,         0,      1748,      3398,      1039,      3082
        98,      1058,17822.3662,         0,         0,       237,         0,         0,         0,         0,         0,        -0,      -280,      -280,         0,         0,         0,       340,         0,         0,         0,         0,         0,        -0,      -228,      -228,         0,         0,         0,       237,       517,       340,       568
        99,      1059,63551.5206,         0,         0,      1598,         0,         0,         0,         0,         0,        -0,     -1141,     -1142,         0,         0,         0,       856,         0,         0,         0,         0,         0,        -0,     -1344,     -1344,         0,         0,         0,      1598,      2740,       856,      2200
       100,      1060,85549.1324,         0,         0,         0,         0,         0,         0,         0,         0,         0,      -158,      -158,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      -244,      -244,         0,         0,         0,         0,       158,         0,       244
       101,      1061,36970.7708,       1.0,         0,       291,         0,         0,       291,         0,         0,        -0,     -1568,     -1569,        -0,     -1568,     -1569,       495,         1,         1,         0,         0,         0,        -0,     -1042,     -1042,         0,         0,         0,       291,      1860,       496,      1538
       102,      1062,214.398500,     170.7,      58.9,       443,       389,        97,     75626,     66419,     16533,        -0,      -490,      -490,        -6,    -83578,    -83584,       685,       499,       289,     40326,     29367,     17046,        -0,      -280,      -280,        -6,    -16482,    -16488,       443,       933,       685,       965
       103,      1063,148.244600,      69.1,      14.2,       443,       389,        73,     30637,     26887,      5051,        -0,      -538,      -538,        -2,    -37155,    -37158,       686,       499,       240,      9738,      7080,      3413,        -0,      -309,      -309,        -2,     -4389,     -4390,       443,       981,       686,       995
       104,      1064,712.650200,      20.1,     124.1,       437,       389,       156,      8786,      7821,      3136,        -0,      -422,      -422,        -1,     -8480,     -8481,       665,       505,        85,     82545,     62683,     10559,        -0,      -260,      -260,       -13,    -32223,    -32235,       437,       859,       665,       925
       105,      1065,192.423800,     219.7,     107.9,       447,       389,       173,     98122,     85485,     38116,        -0,      -528,      -528,        -4,   -116013,   -116017,       697,       507,       263,     75173,     54704,     28422,        -0,      -302,      -302,        -6,    -32533,    -32539,       447,       975,       697,       998
       106,      1066,635.714900,       1.0,      84.0,       448,       389,       104,       448,       389,       104,        -0,      -622,      -622,        -0,      -622,      -622,       702,       509,        43,     58930,     42723,      3581,        -0,      -356,      -356,        -4,    -29923,    -29927,       448,      1070,       702,      1058
       107,      1067,3042.13650,         0,         0,       220,        90,         0,         0,         0,         0,        -0,      -116,      -116,         0,         0,         0,       305,       152,         0,         0,         0,         0,        -0,      -180,      -180,         0,         0,         0,       220,       336,       305,       485
       108,      1068,5730.74550,         0,         0,       250,         0,         0,         0,         0,         0,        -0,      -101,      -101,         0,         0,         0,       348,         1,         0,         0,         0,         0,        -0,      -163,      -163,         0,         0,         0,       250,       351,       348,       511
       109,      1069,1649.86490,         0,         0,       384,       117,         0,         0,         0,         0,        -0,      -467,      -467,         0,         0,         0,       579,       193,         0,         0,         0,         0,        -0,      -305,      -305,         0,         0,         0,       384,       851,       580,       885
       110,      1070,3826.15560,       1.0,         0,       354,       231,         0,       354,       231,         0,        -0,      -153,      -154,        -0,      -153,      -154,       516,       311,         1,         0,         0,         0,        -0,      -177,      -177,         0,         0,         0,       354,       507,       517,       694
       111,      1071,1028.18090,         0,         0,       426,       302,         0,         0,         0,         0,        -0,      -349,      -349,         0,         0,         0,       636,       422,         0,         0,         0,         0,        -0,      -215,      -215,         0,         0,         0,       426,       776,       637,       852
       112,      1072,799.521300,         0,         0,       429,       284,         0,         0,         0,         0,        -0,      -489,      -489,         0,         0,         0,       640,       406,         0,         0,         0,         0,        -0,      -300,      -300,         0,         0,         0,       429,       918,       640,       940
       113,      1073,245.954700,         0,         0,       438,       375,         3,         0,         0,         0,        -0,      -500,      -500,         0,         0,         0,       667,       490,        16,         0,         0,         0,        -0,      -293,      -293,         0,         0,         0,       438,       938,       667,       959
       114,      1074,239.121200,         0,         0,       423,       382,         0,         0,         0,         0,        -0,      -279,      -279,         0,         0,         0,       629,       492,         3,         0,         0,         0,        -0,      -176,      -176,         0,         0,         0,       423,       701,       629,       805
       115,      1075,233.186800,       3.8,         0,       438,       389,        21,      1665,      1476,        82,        -0,      -441,      -441,        -0,     -1675,     -1675,       668,       492,        70,         0,         0,         0,        -0,      -256,      -256,         0,         0,         0,       438,       879,       668,       924
       116,      1076,874.438100,         0,         0,       436,       366,         0,         0,         0,         0,        -0,      -558,      -558,         0,         0,         0,       663,       489,         0,         0,         0,         0,        -0,      -331,      -332,         0,         0,         0,       436,       994,       663,       994
       117,      1077,252.043200,         0,         0,       435,       326,         0,         0,         0,         0,        -0,      -687,      -687,         0,         0,         0,       657,       444,         0,         0,         0,         0,        -0,      -420,      -420,         0,         0,         0,       435,      1122,       657,      1077
       118,      1078,198.877200,         0,         0,       438,       389,        51,         0,         0,         0,        -0,      -428,      -428,         0,         0,         0,       668,       498,       135,         0,         0,         0,        -0,      -255,      -255,         0,         0,         0,       438,       866,       668,       924
       119,      1079,812.204800,         0,         0,       433,       347,         0,         0,         0,         0,        -0,      -714,      -714,         0,         0,         0,       675,       475,         0,         0,         0,         0,        -0,      -425,      -425,         0,         0,         0,       433,      1147,       675,      1100
       120,      1080,1028.17820,         0,         0,       363,       240,         0,         0,         0,         0,        -0,      -784,      -784,         0,         0,         0,       552,       321,         0,         0,         0,         0,        -0,      -534,      -535,         0,         0,         0,       363,      1146,       552,      1087
       121,      1081,1198.72670,       7.7,         0,       452,       369,         0,      3479,      2838,         0,         0,      -680,      -680,         0,     -5236,     -5236,       716,       466,         8,         0,         0,         0,        -0,      -401,      -401,         0,         0,         0,       452,      1132,       716,      1117
       122,      1082,1821.99430,       1.9,         0,       455,       297,         0,       864,       565,         0,        -0,      -811,      -811,        -0,     -1542,     -1542,       727,       388,         2,         0,         0,         0,        -0,      -464,      -465,         0,         0,         0,       455,      1266,       727,      1191
       123,      1083,1041.54870,       3.8,         0,       459,       335,         0,      1743,      1275,         0,        -0,      -703,      -703,        -0,     -2673,     -2673,       735,       432,         4,         0,         0,         0,        -0,      -395,      -395,         0,         0,         0,       459,      1162,       735,      1130
       124,      1084,578.258700,         0,         0,       458,        96,         0,         0,         0,         0,        -0,      -940,      -940,         0,         0,         0,       757,       135,         0,         0,         0,         0,        -0,      -532,      -533,         0,         0,         0,       458,      1397,       757,      1290
       125,      1085,2130.99820,       3.8,         0,       435,       122,         0,      1654,       463,         0,        -0,      -555,      -555,        -0,     -2109,     -2109,       705,       155,         4,         0,         0,         0,        -0,      -334,      -334,         0,         0,         0,       435,       990,       705,      1039
       126,      1086,1305.85350,       1.9,         0,       451,       143,         0,       857,       271,         0,        -0,      -720,      -720,        -0,     -1367,     -1368,       736,       192,         2,         0,         0,         0,        -0,      -419,      -419,         0,         0,         0,       451,      1171,       736,      1155
       127,      1087,2287.29470,      22.1,         0,       450,       110,         0,      9948,      2435,         0,        -0,      -813,      -813,        -2,    -17969,    -17970,       744,       154,        22,         0,         0,         0,        -0,      -464,      -465,         0,         0,         0,       450,      1263,       744,      1208
       128,      1088,3560.74300,       5.8,         0,       385,         0,         0,      2235,         0,         0,        -0,      -497,      -497,        -0,     -2880,     -2881,       632,        26,         6,         0,         0,         0,        -0,      -330,      -330,         0,         0,         0,       385,       882,       632,       962
       129,      1089,1306.35830,       5.8,         0,       425,         0,         0,      2467,         0,         0,        -0,      -741,      -741,        -0,     -4296,     -4296,       724,        41,         6,         0,         0,         0,        -0,      -442,      -442,         0,         0,         0,       425,      1166,       724,      1166
       130,      1090,2823.37430,       1.9,         0,       445,         0,         0,       846,         0,         0,        -0,      -860,      -860,        -1,     -1634,     -1634,       737,        42,         2,         0,         0,         0,        -0,      -513,      -513,         0,         0,         0,       445,      1305,       737,      1250
       131,      1091,2662.25530,         0,         0,        42,         0,         0,         0,         0,         0,         0,      -594,      -594,         0,         0,         0,       116,         6,         0,         0,         0,         0,         0,      -695,      -695,         0,         0,         0,        42,       636,       116,       811
       132,      1092,3212.15190,         0,         0,       381,         0,         0,         0,         0,         0,        -0,      -587,      -588,         0,         0,         0,       666,        16,         0,         0,         0,         0,        -0,      -364,      -364,         0,         0,         0,       381,       969,       666,      1030
       133,      1093,712.427800,         0,         0,       431,         0,         0,         0,         0,         0,        -0,      -711,      -711,         0,         0,         0,       702,        27,         0,         0,         0,         0,        -0,      -452,      -453,         0,         0,         0,       431,      1142,       702,      1154
       134,      1094,3759.68120,       5.8,         0,       401,         0,         0,      2328,         0,         0,        -0,      -950,      -951,        -1,     -5512,     -5513,       676,        19,         6,         0,         0,         0,        -0,      -615,      -615,         0,         0,         0,       402,      1352,       676,      1291
       135,      1095,2604.78100,         0,         0,       506,        54,         0,         0,         0,         0,        -1,      -916,      -917,         0,         0,         0,       731,       139,         0,         0,         0,         0,        -0,      -612,      -612,         0,         0,         0,       507,      1423,       731,      1343
       136,      1096,1361.39760,         0,         0,       983,        99,         0,         0,         0,         0,        -1,      -547,      -548,         0,         0,         0,       982,       263,         0,         0,         0,         0,        -0,      -482,      -482,         0,         0,         0,       984,      1531,       983,      1465
       137,      1097,350.303300,       1.9,         0,      1053,       102,        24,      2000,       194,        45,        -1,      -504,      -506,        -2,      -958,      -961,      1004,       272,        34,         0,         0,         0,        -1,      -515,      -515,         0,         0,         0,      1054,      1558,      1005,      1520
       138,      1098,195.713000,     107.4,      79.9,      1165,       102,        92,    125109,     10955,      9885,        -1,      -488,      -489,      -130,    -52378,    -52508,      1070,       271,       225,     85492,     21671,     18001,        -1,      -526,      -527,       -56,    -42043,    -42099,      1166,      1654,      1071,      1597
       139,      1099,435.747400,         0,         0,       964,       102,         1,         0,         0,         0,        -1,      -571,      -572,         0,         0,         0,       944,       271,        26,         0,         0,         0,        -1,      -601,      -602,         0,         0,         0,       965,      1537,       944,      1545
