TAZID,CO_TAZID,DevAcres,HH,Job,Job_byAuto,Job_byTran,Job_byBike,Job_byWalk,act_Job_byAuto,act_Job_byTran,act_Job_byBike,act_Job_byWalk,Loss_Job_Cong,Loss_Job_Net,Loss_Job_Abs,act_Loss_Job_Cong,act_Loss_Job_Net,act_Loss_Job_Abs,HH_byAuto,HH_byTran,HH_byBike,HH_byWalk,act_HH_byAuto,act_HH_byTran,act_HH_byBike,act_HH_byWalk,Loss_HH_Cong,Loss_HH_Net,Loss_HH_Abs,act_Loss_HH_Cong,act_Loss_HH_Net,act_Loss_HH_Abs,tmp_Job_byTran_wk,tmp_Job_byTran_dr,tmp_HH_byTran_wk,tmp_HH_byTran_dr,tmp_Job_byAuto_FF,tmp_Job_byAuto_SL,tmp_HH_byAuto_FF,tmp_HH_byAuto_SL
         1,     21001,114466.770,      17.1,         0,        39,         0,         0,         0,       673,         0,         0,         0,        -0,       -39,       -39,        -0,      -666,      -666,       102,         0,        17,        17,         0,         0,         0,         0,        -0,      -134,      -134,         0,         0,         0,         0,         0,         0,         0,        39,        78,       102,       237
         2,     21002,196091.136,      16.8,      14.1,        66,         0,        14,        14,      1110,         0,       237,       237,         0,      -155,      -155,         0,     -2600,     -2600,       172,         0,        17,        17,      2431,         0,       237,       237,        -0,      -225,      -225,        -0,     -3173,     -3173,         0,         0,         0,         0,        66,       221,       172,       397
         3,     21003,60068.9321,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       -40,       -40,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      -128,      -128,         0,         0,         0,         0,         0,         0,         0,         0,        40,         0,       128
         4,     21004,104938.051,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,       -78,       -78,         0,         0,         0,         4,         0,         0,         0,         0,         0,         0,         0,         0,      -194,      -194,         0,         0,         0,         0,         0,         0,         0,         0,        78,         4,       198
         5,     21005,16771.1668,      18.0,         0,        83,         0,         0,         0,      1498,         0,         0,         0,        -0,       -50,       -50,        -0,      -892,      -892,       197,         0,        18,        18,         0,         0,         0,         0,        -0,      -153,      -153,         0,         0,         0,         0,         0,         0,         0,        83,       133,       197,       350
         6,     21006,34075.6427,      71.6,         0,        49,         0,        10,         0,      3534,         0,       735,         0,        -0,      -114,      -114,        -2,     -8185,     -8187,       189,         0,       108,        72,         0,         0,         0,         0,        -0,      -185,      -185,         0,         0,         0,         0,         0,         0,         0,        49,       164,       189,       374
         7,     21007,69912.1193,      14.5,         0,        65,         0,         0,         0,       940,         0,         0,         0,         0,      -553,      -553,         0,     -8014,     -8014,       167,         0,        15,        15,         0,         0,         0,         0,        -0,      -831,      -831,         0,         0,         0,         0,         0,         0,         0,        65,       618,       167,       998
         8,     21008,24878.3272,     109.6,      31.1,        81,         0,        31,        31,      8899,         0,      3409,      3409,        -0,      -117,      -117,        -2,    -12805,    -12807,       255,         0,       133,       110,      7923,         0,      4144,      3409,        -0,      -160,      -160,        -1,     -4986,     -4987,         0,         0,         0,         0,        81,       198,       255,       415
         9,     21009,41348.0855,     111.5,      64.4,       133,         0,        64,        64,     14793,         0,      7181,      7181,        -0,     -3094,     -3094,        -2,   -344938,   -344940,       297,         0,       112,       112,     19154,         0,      7181,      7181,        -0,     -3111,     -3111,        -7,   -200373,   -200379,         0,         0,         0,         0,       133,      3226,       298,      3409
        10,     21010,15444.9901,      17.9,      21.5,       139,         0,        43,        22,      2488,         0,       777,       385,        -0,      -290,      -290,        -0,     -5195,     -5195,       306,         0,        56,        18,      6574,         0,      1210,       385,        -0,      -570,      -570,        -1,    -12245,    -12246,         0,         0,         0,         0,       139,       429,       306,       875
