Scenario:,LRP_2023,
Year:,2023,
,
VMT by Period (Raw Model Output),
,
Period,AM,MD,PM,EV,
Freeway,         284780,         593675,         397231,         354955,
Ramp,           9830,          28631,          16310,          16796,
Arterial,         411783,        1168555,         698415,         651186,
Local,          46340,         152135,          83626,          85716,
,
,
VMT by Period & Speed Categroy (Raw Model Output),
,
Freeway,
Seepd Class,Speed Bin,AM,MD,PM,EV,
 1,<= 2.5,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,           1600,              0,
 3,7.5 - 12.5 ,              0,           2766,              0,              0,
 4,12.5 - 17.5,              0,              0,           2161,              0,
 5,17.5 - 22.5,           1956,           4042,              0,              0,
 6,22.5 - 27.5,              0,              0,              0,              0,
 7,27.5 - 32.5,              0,              0,              0,              0,
 8,32.5 - 37.5,            913,             59,             40,           3869,
 9,37.5 - 42.5,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,              0,              0,
12,52.5 - 57.5,           2944,           8494,          20736,           4694,
13,57.5 - 62.5,              0,              0,           4628,              0,
14,> 62.5,         278967,         578313,         368065,         346392,
,
Ramp,
Seepd Class,Speed Bin,AM,MD,PM,EV,
 1,<= 2.5,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,              0,              0,
 4,12.5 - 17.5,              0,           2063,           2496,              0,
 5,17.5 - 22.5,              0,           4670,           2960,              0,
 6,22.5 - 27.5,           2695,           6158,           2620,              0,
 7,27.5 - 32.5,           7135,          15739,           8235,          16796,
 8,32.5 - 37.5,              0,              0,              0,              0,
 9,37.5 - 42.5,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,              0,              0,
12,52.5 - 57.5,              0,              0,              0,              0,
13,57.5 - 62.5,              0,              0,              0,              0,
14,> 62.5,              0,              0,              0,              0,
,
Arterial,
Seepd Class,Speed Bin,AM,MD,PM,EV,
 1,<= 2.5,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,              0,              0,
 4,12.5 - 17.5,              0,            306,           2039,              0,
 5,17.5 - 22.5,            879,          11411,          22522,            196,
 6,22.5 - 27.5,          33000,         135391,          94503,          41618,
 7,27.5 - 32.5,          60909,         203075,         117174,          84669,
 8,32.5 - 37.5,          84418,         218685,         122311,         173496,
 9,37.5 - 42.5,          66321,         199741,         114082,         108805,
10,42.5 - 47.5,          35127,         106877,          57348,          22509,
11,47.5 - 52.5,          29448,          46279,          40284,          72390,
12,52.5 - 57.5,          57053,         138893,          88644,          77698,
13,57.5 - 62.5,          44627,         107897,          39508,          69805,
14,> 62.5,              0,              0,              0,              0,

