TAZID,CO_TAZID,DevAcres,HH,Job,Job_byAuto,Job_byBike,Job_byWalk,act_Job_byAuto,act_Job_byBike,act_Job_byWalk,Loss_Job_Cong,Loss_Job_Net,Loss_Job_Abs,act_Loss_Job_Cong,act_Loss_Job_Net,act_Loss_Job_Abs,HH_byAuto,HH_byBike,HH_byWalk,act_HH_byAuto,act_HH_byBike,act_HH_byWalk,Loss_HH_Cong,Loss_HH_Net,Loss_HH_Abs,act_Loss_HH_Cong,act_Loss_HH_Net,act_Loss_HH_Abs,tmp_Job_byAuto_FF,tmp_Job_byAuto_SL,tmp_HH_byAuto_FF,tmp_HH_byAuto_SL
        41,      1001,107.487500,         0,     135.7,      2732,      2342,       616,         0,         0,         0,        -0,      -931,      -931,         0,         0,         0,      2142,      1377,        69,    290611,    186914,      9365,        -0,     -1460,     -1460,       -56,   -198075,   -198130,      2732,      3663,      2142,      3602
        42,      1002,345.741700,      24.6,     149.5,      2646,      2262,       280,     65101,     55649,      6893,        -0,      -809,      -810,        -7,    -19913,    -19919,      1945,      1369,        46,    290754,    204695,      6815,        -1,     -1325,     -1326,      -114,   -198132,   -198246,      2647,      3456,      1946,      3271
        43,      1003,440.680600,      68.5,      44.4,      2651,      2231,        74,    181566,    152814,      5072,        -0,      -873,      -873,       -19,    -59788,    -59807,      1955,      1391,        77,     86820,     61764,      3400,        -1,     -1368,     -1369,       -34,    -60751,    -60785,      2651,      3524,      1956,      3324
        44,      1004,306.113700,       7.5,         0,      2535,      2166,        19,     19012,     16243,       142,        -0,      -692,      -692,        -2,     -5189,     -5191,      1723,      1376,        38,         0,         0,         0,        -0,     -1194,     -1195,         0,         0,         0,      2535,      3227,      1724,      2918
        45,      1005,245.424600,      88.3,     632.2,      2684,      2402,       878,    237028,    212120,     77515,        -0,      -839,      -840,       -21,    -74114,    -74135,      2039,      1425,       192,   1289162,    900910,    121520,        -1,     -1338,     -1339,      -392,   -846109,   -846501,      2685,      3524,      2040,      3378
        46,      1006,675.848300,     154.5,      97.7,      2658,      2381,       167,    410680,    367920,     25809,        -0,      -831,      -831,       -34,   -128398,   -128432,      1977,      1451,       257,    193111,    141763,     25143,        -1,     -1297,     -1298,       -60,   -126735,   -126795,      2658,      3489,      1977,      3274
        47,      1007,184.967300,     203.6,     295.9,      2686,      2457,       898,    546862,    500182,    182920,        -0,      -689,      -689,       -36,   -140324,   -140360,      2056,      1424,       458,    608399,    421340,    135461,        -0,     -1110,     -1111,      -132,   -328570,   -328702,      2686,      3375,      2057,      3167
        48,      1008,142.192400,     143.2,     192.6,      2679,      2445,       745,    383703,    350059,    106739,        -0,      -708,      -709,       -28,   -101456,   -101484,      2035,      1440,       550,    392029,    277402,    105946,        -1,     -1130,     -1131,       -96,   -217653,   -217749,      2680,      3388,      2036,      3166
        49,      1009,132.581600,     116.6,      18.5,      2657,      2412,       202,    309780,    281199,     23602,        -0,      -710,      -710,       -23,    -82806,    -82828,      1980,      1443,       352,     36639,     26693,      6516,        -0,     -1141,     -1141,        -9,    -21107,    -21115,      2657,      3367,      1981,      3122
        50,      1010,176.207600,      89.0,     125.0,      2733,      2468,       644,    243212,    219656,     57350,        -0,      -737,      -738,       -18,    -65636,    -65654,      2155,      1397,       389,    269327,    174640,     48648,        -1,     -1132,     -1132,       -69,   -141475,   -141544,      2733,      3470,      2155,      3287
        51,      1011,303.360100,     233.3,     448.0,      2717,      2454,       739,    633892,    572493,    172457,        -0,      -729,      -730,       -48,   -170151,   -170199,      2121,      1417,       463,    950328,    634708,    207385,        -1,     -1117,     -1117,      -248,   -500290,   -500538,      2717,      3447,      2122,      3239
        52,      1012,197.677000,      44.3,      13.5,      2649,      2414,       350,    117349,    106955,     15514,        -0,      -718,      -718,        -9,    -31790,    -31799,      1959,      1426,       359,     26447,     19247,      4849,        -0,     -1151,     -1152,        -7,    -15544,    -15551,      2649,      3367,      1960,      3111
        53,      1013, 93.158900,      41.0,         0,      2618,      2328,        44,    107352,     95462,      1822,        -0,      -731,      -731,       -14,    -29951,    -29965,      1888,      1418,       208,         0,         0,         0,        -1,     -1189,     -1189,         0,         0,         0,      2619,      3349,      1888,      3077
        54,      1014,163.623300,       3.0,      83.4,      2771,      2293,       106,      8313,      6880,       317,        -0,      -895,      -895,        -0,     -2686,     -2686,      2237,      1293,        22,    186588,    107799,      1872,        -0,     -1409,     -1410,       -15,   -117551,   -117566,      2771,      3666,      2237,      3647
        55,      1015,534.244100,      27.4,      30.4,      2802,      2092,       111,     76769,     57319,      3044,        -0,     -1031,     -1031,        -1,    -28260,    -28262,      2303,      1192,        29,     70005,     36229,       889,        -0,     -1577,     -1577,        -6,    -47934,    -47940,      2802,      3833,      2303,      3880
        56,      1016,406.555000,         0,     195.3,      2809,      1873,       200,         0,         0,         0,        -0,     -1103,     -1103,         0,         0,         0,      2322,      1023,         4,    453403,    199802,       805,        -0,     -1740,     -1740,       -27,   -339739,   -339766,      2809,      3912,      2322,      4061
