Scenario:,BY_2019,
Year:,2019,
,
VMT by Period (Raw Model Output),
,
Period,AM,MD,PM,EV,
Freeway,         247817,         496249,         336237,         300480,
Ramp,           8688,          25118,          14253,          14439,
Arterial,         387880,        1064810,         644208,         602417,
Local,          45281,         147400,          80073,          84962,
,
,
VMT by Period & Speed Categroy (Raw Model Output),
,
Freeway,
Seepd Class,Speed Bin,AM,MD,PM,EV,
 1,<= 2.5,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,           1379,              0,
 4,12.5 - 17.5,              0,              0,              0,              0,
 5,17.5 - 22.5,              0,              0,           1932,              0,
 6,22.5 - 27.5,           1738,           5912,              0,              0,
 7,27.5 - 32.5,              0,              0,              0,              0,
 8,32.5 - 37.5,            737,             56,             40,           3248,
 9,37.5 - 42.5,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,              0,              0,
12,52.5 - 57.5,           1743,           5929,           3467,           3379,
13,57.5 - 62.5,              0,              0,              0,              0,
14,> 62.5,         243600,         484352,         329419,         293853,
,
Ramp,
Seepd Class,Speed Bin,AM,MD,PM,EV,
 1,<= 2.5,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,              0,              0,
 4,12.5 - 17.5,              0,           1881,           2375,              0,
 5,17.5 - 22.5,              0,           2042,           1289,              0,
 6,22.5 - 27.5,           3196,           6210,           3225,              0,
 7,27.5 - 32.5,           5492,          14985,           7364,          14439,
 8,32.5 - 37.5,              0,              0,              0,              0,
 9,37.5 - 42.5,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,              0,              0,
12,52.5 - 57.5,              0,              0,              0,              0,
13,57.5 - 62.5,              0,              0,              0,              0,
14,> 62.5,              0,              0,              0,              0,
,
Arterial,
Seepd Class,Speed Bin,AM,MD,PM,EV,
 1,<= 2.5,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,              0,              0,
 4,12.5 - 17.5,              0,            307,           1630,              0,
 5,17.5 - 22.5,           1009,           5577,          16982,              0,
 6,22.5 - 27.5,          25708,         106629,          63750,          34260,
 7,27.5 - 32.5,          53769,         180343,         102696,          72589,
 8,32.5 - 37.5,          71919,         166321,          96440,         145713,
 9,37.5 - 42.5,          58637,         171912,         111646,          96913,
10,42.5 - 47.5,          40327,         147572,          77240,          22522,
11,47.5 - 52.5,          30701,          32521,          28424,          75746,
12,52.5 - 57.5,          58647,         131189,         104220,          76515,
13,57.5 - 62.5,          47164,         122439,          41178,          78158,
14,> 62.5,              0,              0,              0,              0,

