TAZID,CO_TAZID,DevAcres,HH,Job,Job_byAuto,Job_byBike,Job_byWalk,act_Job_byAuto,act_Job_byBike,act_Job_byWalk,Loss_Job_Cong,Loss_Job_Net,Loss_Job_Abs,act_Loss_Job_Cong,act_Loss_Job_Net,act_Loss_Job_Abs,HH_byAuto,HH_byBike,HH_byWalk,act_HH_byAuto,act_HH_byBike,act_HH_byWalk,Loss_HH_Cong,Loss_HH_Net,Loss_HH_Abs,act_Loss_HH_Cong,act_Loss_HH_Net,act_Loss_HH_Abs,tmp_Job_byAuto_FF,tmp_Job_byAuto_SL,tmp_HH_byAuto_FF,tmp_HH_byAuto_SL
        41,      1001,107.487500,         0,     133.7,      2652,      2284,       607,         0,         0,         0,        -0,      -912,      -912,         0,         0,         0,      1920,      1250,        64,    256707,    167105,      8508,        -0,     -1345,     -1345,       -36,   -179851,   -179887,      2652,      3565,      1920,      3265
        42,      1002,345.741700,      24.1,     146.9,      2573,      2206,       276,     62006,     53173,      6645,        -0,      -789,      -789,        -5,    -19008,    -19013,      1751,      1241,        40,    257209,    182325,      5866,        -1,     -1217,     -1217,       -75,   -178767,   -178842,      2573,      3362,      1751,      2968
        43,      1003,440.680600,      45.9,      43.8,      2577,      2176,        73,    118273,     99871,      3348,        -0,      -853,      -854,       -10,    -39167,    -39177,      1760,      1261,        53,     77084,     55211,      2324,        -1,     -1262,     -1262,       -22,    -55258,    -55280,      2577,      3430,      1760,      3022
        44,      1004,306.113700,       5.6,         0,      2470,      2112,        19,     13830,     11828,       104,        -0,      -678,      -679,        -1,     -3799,     -3800,      1563,      1244,        27,         0,         0,         0,        -0,     -1099,     -1099,         0,         0,         0,      2470,      3148,      1563,      2662
        45,      1005,245.424600,      80.3,     623.3,      2608,      2342,       865,    209423,    188025,     69490,        -0,      -814,      -814,        -6,    -65359,    -65366,      1832,      1294,       183,   1141671,    806724,    114174,        -0,     -1224,     -1225,      -153,   -763194,   -763347,      2608,      3422,      1832,      3056
        46,      1006,675.848300,      95.6,      93.1,      2584,      2321,       159,    247012,    221904,     15158,        -0,      -809,      -809,        -7,    -77354,    -77361,      1778,      1318,       197,    165578,    122691,     18335,        -0,     -1194,     -1194,       -21,   -111138,   -111158,      2584,      3393,      1779,      2972
        47,      1007,184.967300,     201.7,     291.8,      2610,      2394,       881,    526423,    482876,    177709,        -0,      -670,      -670,       -31,   -135069,   -135101,      1848,      1294,       448,    539192,    377480,    130595,        -0,     -1021,     -1021,      -101,   -297935,   -298036,      2610,      3280,      1848,      2869
        48,      1008,142.192400,     141.4,     189.4,      2604,      2382,       727,    368166,    336852,    102737,        -0,      -690,      -691,       -24,    -97630,    -97654,      1830,      1308,       524,    346519,    247768,     99311,        -0,     -1043,     -1043,       -75,   -197558,   -197633,      2604,      3294,      1830,      2873
        49,      1009,132.581600,     114.7,      12.7,      2583,      2350,       189,    296248,    269568,     21730,        -0,      -692,      -692,       -20,    -79397,    -79417,      1783,      1310,       314,     22644,     16640,      3993,        -0,     -1052,     -1053,        -5,    -13365,    -13370,      2583,      3275,      1783,      2836
        50,      1010,176.207600,      84.5,     118.1,      2652,      2405,       627,    224117,    203208,     52977,        -0,      -713,      -713,       -15,    -60236,    -60252,      1929,      1272,       381,    227826,    150196,     44999,        -0,     -1035,     -1035,       -52,   -122210,   -122262,      2652,      3365,      1930,      2964
        51,      1011,303.360100,     230.0,     437.3,      2638,      2391,       719,    606770,    549906,    165257,        -0,      -707,      -707,       -41,   -162516,   -162557,      1902,      1289,       454,    831585,    563541,    198471,        -0,     -1026,     -1026,      -194,   -448650,   -448845,      2638,      3345,      1902,      2928
        52,      1012,197.677000,      42.8,      10.2,      2576,      2352,       335,    110236,    100672,     14324,        -0,      -697,      -697,        -7,    -29831,    -29838,      1764,      1296,       348,     17998,     13218,      3551,        -0,     -1058,     -1059,        -4,    -10794,    -10798,      2576,      3273,      1765,      2823
        53,      1013, 93.158900,      34.6,         0,      2548,      2268,        38,     88145,     78473,      1301,        -0,      -710,      -711,        -6,    -24581,    -24587,      1704,      1289,       196,         0,         0,         0,        -0,     -1092,     -1092,         0,         0,         0,      2548,      3258,      1705,      2797
        54,      1014,163.623300,       2.3,      82.0,      2687,      2234,       101,      6180,      5138,       231,        -0,      -859,      -859,        -0,     -1977,     -1977,      1998,      1189,        21,    163809,     97458,      1717,        -0,     -1281,     -1281,       -11,   -105047,   -105057,      2687,      3546,      1998,      3279
        55,      1015,534.244100,      26.3,      24.6,      2715,      2036,       104,     71406,     53554,      2735,        -0,      -987,      -987,        -1,    -25967,    -25968,      2052,      1101,        28,     50491,     27081,       682,        -0,     -1427,     -1427,        -4,    -35105,    -35109,      2715,      3702,      2053,      3480
        56,      1016,406.555000,         0,     192.2,      2721,      1823,       196,         0,         0,         0,        -0,     -1048,     -1048,         0,         0,         0,      2069,       950,         4,    397573,    182520,       760,        -0,     -1558,     -1558,       -19,   -299434,   -299453,      2721,      3769,      2069,      3627
        57,      1017,259.265300,         0,         0,      2649,      1138,         0,         0,         0,         0,        -1,     -1124,     -1125,         0,         0,         0,      1939,       574,         0,         0,         0,         0,        -0,     -1645,     -1646,         0,         0,         0,      2650,      3774,      1940,      3585
        58,      1018,2318.19310,       3.1,         0,      2140,         0,         0,      6633,         0,         0,        -1,     -1147,     -1147,        -2,     -3555,     -3557,      1254,        34,         3,         0,         0,         0,        -1,     -1446,     -1446,         0,         0,         0,      2140,      3287,      1255,      2700
        59,      1019,1608.83630,       6.5,         0,      2413,       504,         0,     15684,      3278,         0,        -1,      -690,      -691,        -4,     -4486,     -4490,      1482,       262,         7,         0,         0,         0,        -1,     -1173,     -1174,         0,         0,         0,      2414,      3104,      1483,      2656
        60,      1020,2637.15700,      16.7,         0,      2031,        37,         0,     33920,       615,         0,        -0,     -1034,     -1034,        -6,    -17265,    -17271,      1253,       117,        17,         0,         0,         0,        -0,     -1233,     -1233,         0,         0,         0,      2031,      3065,      1253,      2486
        61,      1021,1551.24700,      31.6,         0,      2393,       756,         0,     75609,     23904,         0,        -1,      -797,      -797,       -20,    -25171,    -25191,      1467,       480,        32,         0,         0,         0,        -1,     -1235,     -1236,         0,         0,         0,      2393,      3190,      1468,      2703
