Scenario:,OY_2023,
Year:,2023,
,
,
All Areas,
,
VMT by Period (Raw Model Output),
,
Period,AM,MD,PM,EV,DY,
Freeway,        6478463,       13530023,        9713323,        9301250,       39023060,
Ramp,         213808,         424408,         290422,         323666,        1252305,
Arterial,        7346600,       15966026,       12614625,       10900914,       46828165,
Local,         909706,        2142862,        1533605,        1506137,        6092310,
,
,
VMT by Period & Speed Categroy (Raw Model Output),
,
Freeway,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,           2388,              0,           2388,
 3,7.5 - 12.5 ,              0,           2934,              0,              0,           2934,
 4,12.5 - 17.5,           1098,              0,          68280,              0,          69379,
 5,17.5 - 22.5,           4752,           6325,         221528,              0,         232605,
 6,22.5 - 27.5,          25227,           1535,         267544,              0,         294306,
 7,27.5 - 32.5,          52830,           3728,         483934,              0,         540492,
 8,32.5 - 37.5,         249951,           9374,         303983,           8442,         571750,
 9,37.5 - 42.5,         228888,          31505,         510891,              0,         771283,
10,42.5 - 47.5,         168453,         252532,         323475,              0,         744459,
11,47.5 - 52.5,         340591,         156367,         621093,              0,        1118051,
12,52.5 - 57.5,         550327,         817924,         724996,         359302,        2452549,
13,57.5 - 62.5,         379205,         517299,         595133,          67918,        1559556,
14,> 62.5,        4477141,       11730500,        5590079,        8865588,       30663308,
,
Ramp,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,           2128,              0,           2128,
 3,7.5 - 12.5 ,           4423,           2939,          24727,              0,          32089,
 4,12.5 - 17.5,          40739,          47433,          67045,              0,         155217,
 5,17.5 - 22.5,          89230,         197896,         120113,          45927,         453166,
 6,22.5 - 27.5,          73640,         161087,          67306,         261219,         563252,
 7,27.5 - 32.5,           5777,          15052,           9103,          16520,          46452,
 8,32.5 - 37.5,              0,              0,              0,              0,              0,
 9,37.5 - 42.5,              0,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,              0,              0,              0,
12,52.5 - 57.5,              0,              0,              0,              0,              0,
13,57.5 - 62.5,              0,              0,              0,              0,              0,
14,> 62.5,              0,              0,              0,              0,              0,
,
Arterial,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,           5335,              0,          23661,              0,          28996,
 3,7.5 - 12.5 ,          24065,           3478,          98436,              0,         125979,
 4,12.5 - 17.5,          57092,          31766,         320419,           1799,         411075,
 5,17.5 - 22.5,         302602,         383039,        1229011,          95650,        2010301,
 6,22.5 - 27.5,         986119,        1468864,        2378400,         483697,        5317079,
 7,27.5 - 32.5,        1843935,        3733999,        2343596,        2837355,       10758885,
 8,32.5 - 37.5,        1324654,        3076918,        1664182,        1959684,        8025438,
 9,37.5 - 42.5,         636282,        1436718,         852180,        1460142,        4385323,
10,42.5 - 47.5,         625620,        1655385,        1092874,         979726,        4353605,
11,47.5 - 52.5,         350518,         876513,         386283,         628298,        2241613,
12,52.5 - 57.5,         428244,        1199598,         975707,        1113793,        3717342,
13,57.5 - 62.5,         756868,        2088376,        1242712,        1330119,        5418075,
14,> 62.5,           5265,          11371,           7164,          10652,          34452,

,
,
UDOT Area (SubareaID=0),
,
Period,AM,MD,PM,EV,DY,
Freeway,         837319,        2299199,        1722382,        1368546,        6227446,
Ramp,          12648,          30842,          22384,          20895,          86769,
Arterial,        1221970,        3339783,        2480912,        2088426,        9131091,
Local,         142508,         376913,         268371,         254906,        1042699,
,
,
VMT by Period & Speed Categroy (Raw Model Output),
,
Freeway,
Seepd Class,Speed Bin,AM,MD,PM,EV,DY,
 1,<= 2.5,              0,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,              0,              0,              0,
