Scenario:,LRP_2028,
Year:,2028,
,
VMT by Period (Raw Model Output),
,
Period,AM,MD,PM,EV,
Freeway,         350138,         743809,         500712,         442403,
Ramp,          13659,          38334,          22365,          22390,
Arterial,         515160,        1436500,         874565,         793058,
Local,          58764,         189899,         105706,         106500,
,
,
VMT by Period & Speed Categroy (Raw Model Output),
,
Freeway,
Seepd Class,Speed Bin,AM,MD,PM,EV,
 1,<= 2.5,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,           3120,           1613,              0,
 3,7.5 - 12.5 ,           2282,           4671,           2388,              0,
 4,12.5 - 17.5,              0,              0,              0,              0,
 5,17.5 - 22.5,              0,              0,              0,              0,
 6,22.5 - 27.5,           1174,              0,           4357,              0,
 7,27.5 - 32.5,              0,              0,           8722,              0,
 8,32.5 - 37.5,             34,             63,          19121,           5118,
 9,37.5 - 42.5,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,          11666,              0,
12,52.5 - 57.5,           4146,          18423,          11637,           6523,
13,57.5 - 62.5,              0,          23572,          30474,              0,
14,> 62.5,         342501,         693960,         410735,         430763,
,
Ramp,
Seepd Class,Speed Bin,AM,MD,PM,EV,
 1,<= 2.5,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,              0,           1280,              0,
 4,12.5 - 17.5,              0,           2142,           3713,              0,
 5,17.5 - 22.5,           2238,           6172,           2476,              0,
 6,22.5 - 27.5,           2263,           8492,           6127,              0,
 7,27.5 - 32.5,           9158,          21528,           8768,          22390,
 8,32.5 - 37.5,              0,              0,              0,              0,
 9,37.5 - 42.5,              0,              0,              0,              0,
10,42.5 - 47.5,              0,              0,              0,              0,
11,47.5 - 52.5,              0,              0,              0,              0,
12,52.5 - 57.5,              0,              0,              0,              0,
13,57.5 - 62.5,              0,              0,              0,              0,
14,> 62.5,              0,              0,              0,              0,
,
Arterial,
Seepd Class,Speed Bin,AM,MD,PM,EV,
 1,<= 2.5,              0,              0,              0,              0,
 2,2.5 - 7.5  ,              0,              0,              0,              0,
 3,7.5 - 12.5 ,              0,            902,           9101,              0,
 4,12.5 - 17.5,            765,           2911,          25194,              0,
 5,17.5 - 22.5,           5610,          47158,          42281,            208,
 6,22.5 - 27.5,          46648,         178122,         118883,          52210,
 7,27.5 - 32.5,          78304,         265938,         138506,          99791,
 8,32.5 - 37.5,          97650,         249291,         183137,         206970,
 9,37.5 - 42.5,         109920,         276512,         129665,         168198,
10,42.5 - 47.5,          43871,         128613,          51593,          25354,
11,47.5 - 52.5,          36958,          57195,          59528,          98060,
12,52.5 - 57.5,          53819,         193190,          93257,          73246,
13,57.5 - 62.5,          41615,          36667,          23419,          69022,
14,> 62.5,              0,              0,              0,              0,

